"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          12,      -7.327619877,      -7.316229483,      -7.154599288,       -6.92084163,      -6.705638083
          0,           0,          13,       -7.40160413,      -7.394966335,       -7.27683187,      -7.044512249,       -6.77807436
          0,           0,          14,      -7.492159453,      -7.485024206,      -7.399775821,      -7.168799197,      -6.866258481
          0,           0,          15,      -7.591265252,      -7.581188818,      -7.524585176,      -7.290158857,      -6.963131747
          0,           0,          16,      -7.691032835,      -7.677335502,      -7.647098388,      -7.403026421,      -7.063420752
          0,           0,          17,      -7.791385188,      -7.772411588,      -7.772004896,      -7.512462561,      -7.163014968
          0,           0,          18,      -7.890232161,      -7.865910624,      -7.896566648,      -7.617974575,      -7.261376825
          0,           0,          19,      -7.985618356,      -7.957584976,      -8.020757915,      -7.721398969,       -7.35685081
          0,           0,          20,      -8.076493451,      -8.047283198,      -8.144665708,      -7.824297627,      -7.448217671
          0,           0,          21,      -8.163963251,      -8.135795896,       -8.26906504,       -7.92808485,      -7.535479878
          0,           0,          22,      -8.245149444,      -8.222610854,      -8.384568484,      -8.024948928,      -7.623208287
          0,           0,          23,      -8.323580509,      -8.307772205,      -8.500422212,      -8.123983833,      -7.702236877
          0,           0,          24,      -8.405624393,      -8.392790393,      -8.611013752,      -8.222933966,      -7.781509969
          0,           0,          25,      -8.487976938,      -8.478211248,      -8.709627499,      -8.318796015,      -7.862684464
          0,           0,          26,      -8.570085909,      -8.562846848,      -8.794414344,      -8.409906755,      -7.944470496
          0,           0,          27,      -8.653233102,      -8.645931381,      -8.866699369,      -8.495112162,      -8.027343144
          0,           0,          28,      -8.737339207,       -8.72789049,      -8.929395838,      -8.573691276,      -8.111041156
          0,           0,          29,      -8.820838637,      -8.808905441,      -8.987214589,      -8.646389239,       -8.19427538
          0,           0,          30,      -8.895311401,      -8.887939674,      -9.042853312,      -8.710596622,      -8.281456394
          0,           0,          31,      -8.961987519,      -8.960307232,      -9.095744932,      -8.776337613,      -8.351025841
          0,           0,          32,      -9.033894289,      -9.027476003,      -9.144591659,      -8.840213845,       -8.41652151
          0,           0,          33,      -9.102855898,      -9.093509542,       -9.19070861,      -8.901298792,       -8.48061878
